"name","bibref"
"Reiko Mazuka","evolang12mazuka"
"Tadahisa Kondo","evolang12mazuka"
"Akiko Hayashi","evolang12mazuka"
"Jonas Nölle","evolang12NolleEnvironmental"
"Marlene Staib","evolang12NolleEnvironmental"
"Riccardo Fusaroli","evolang12NolleEnvironmental"
"Kristian Tylén","evolang12NolleEnvironmental"
"Kazuo Okanoya","evolang12okanoyaparasite"
"Limor Raviv","evolang12Raviv"
"Antje Meyer","evolang12Raviv"
"Shiri Lev-Ari","evolang12Raviv"
"Simon J Greenhill","Greenhill2018"
"Xia Hua","Greenhill2018"
"Caela F Welsh","Greenhill2018"
"Hilde Schneemann","Greenhill2018"
"Lindell Bromham","Greenhill2018"
"Shiri Lev-Ari","lev2018unforeseen"
"Emily Ho","lev2018unforeseen"
"Boaz Keysar","lev2018unforeseen"
"Shigeru Miyagawa","miyagawa2018cross"
"Cora Lesure","miyagawa2018cross"
"Vitor A Nóbrega","miyagawa2018cross"
"Gareth Roberts","roberts2018social"
"Maryia Fedzechkina","roberts2018social"
"Sara Rolando","rolando2018compressible"
"Simon Kirby","rolando2018compressible"
"Kenny Smith","rolando2018compressible"
"Jose Segovia-Martin","SegoviaMartinevolang12"
"Monica Tamariz","SegoviaMartinevolang12"
"Kaius Sinnemäki","sinnemakidigarbo2018"
"Francesca Di Garbo","sinnemakidigarbo2018"
"Matthew Spike","spike2018complexity"
"Sonja Vernes","vernes2018bats"
"Ella Lattenkamp","vernes2018bats"
"Ksenia Lavrichenko","vernes2018bats"
"Janine Mengede","vernes2018bats"
"Marieke Woensdregt","woensdregt2018perspective"
"Kenny Smith","woensdregt2018perspective"
"Chris Cummins","woensdregt2018perspective"
"Simon Kirby","woensdregt2018perspective"
